Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
9918817;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;123;;;69111;579777.66;1188620.93;2013-12-06T00:00:00
9918825;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;124;;;69111;579743.02;1188339.67;2013-12-06T00:00:00
9918833;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;125;;;69111;580129.58;1188882.74;2013-12-06T00:00:00
9918841;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;126;;;69111;580086.74;1188857.67;2013-12-06T00:00:00
9918850;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;127;;;69111;579706.89;1188785.96;2013-12-06T00:00:00
9918868;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;128;;;69111;580153.39;1189253.24;2013-12-06T00:00:00
9918876;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;129;;;69111;580085.22;1188358.86;2013-12-06T00:00:00
9918884;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;130;;;69111;580165.96;1189254.67;2013-12-06T00:00:00
9918892;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;131;;;69111;580082.82;1188834.55;2013-12-06T00:00:00
9918906;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;132;;;69111;579982.17;1188480.46;2013-12-06T00:00:00
9918914;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;133;;;69111;579687.59;1188778.50;2013-12-06T00:00:00
9918922;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;134;;;69111;580108.73;1188826.89;2013-12-06T00:00:00
9918931;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;135;;;69111;580064.25;1188826.53;2014-03-03T00:00:00
9918957;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;137;;;69111;580128.49;1188845.47;2013-12-06T00:00:00
9918965;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;138;;;69111;579750.80;1188501.11;2013-12-06T00:00:00
9918973;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;139;;;69111;580087.77;1188756.86;2013-12-06T00:00:00
9918981;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;140;;;69111;580054.77;1188604.44;2013-12-06T00:00:00
9918990;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;141;;;69111;580125.58;1188814.29;2013-12-06T00:00:00
9919007;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;142;;;69111;579794.84;1188665.16;2013-12-06T00:00:00
9919015;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;143;;;69111;579718.27;1188355.45;2013-12-06T00:00:00
9919031;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;145;;;69111;579714.67;1188343.84;2013-12-06T00:00:00
9919040;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;146;;;69111;580122.77;1189269.81;2013-12-06T00:00:00
9919058;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;147;;;69111;579859.43;1188410.15;2013-12-06T00:00:00
9919066;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;148;;;69111;580157.77;1189170.19;2013-12-06T00:00:00
9919074;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;149;;;69111;580140.68;1189229.04;2013-12-06T00:00:00
9919104;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;152;;;69111;579790.18;1188646.85;2013-12-06T00:00:00
9919112;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;153;;;69111;579716.32;1188390.17;2013-12-06T00:00:00
9919121;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;154;;;69111;580147.43;1189199.66;2013-12-06T00:00:00
9919139;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;155;;;69111;579967.29;1188514.45;2021-11-29T00:00:00
9919147;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;156;;;69111;580145.15;1189213.19;2013-12-06T00:00:00
9919155;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;157;;;69111;580142.46;1189096.34;2013-12-06T00:00:00
9919163;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;158;;;69111;579847.91;1188650.57;2013-12-06T00:00:00
9919180;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;160;;;69111;580079.95;1188318.61;2013-12-06T00:00:00
9919198;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;161;;;69111;580170.32;1189073.66;2013-12-06T00:00:00
9919201;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;162;;;69111;580009.30;1188425.46;2013-12-06T00:00:00
9919210;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;163;;;69111;579999.09;1188447.91;2013-12-06T00:00:00
9919228;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;164;;;69111;579992.59;1188459.36;2013-12-06T00:00:00
9919236;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;165;;;69111;579782.75;1188701.30;2013-12-06T00:00:00
9919244;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;166;;;69111;580167.77;1189091.04;2013-12-06T00:00:00
9919252;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;167;;;69111;580119.06;1189292.29;2013-12-06T00:00:00
9919279;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;169;;;69111;580121.04;1188750.30;2013-12-06T00:00:00
9919287;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;170;;;69111;579805.00;1188685.18;2013-12-06T00:00:00
9919295;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;171;;;69111;579801.74;1188697.47;2013-12-06T00:00:00
