KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
22849262;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;230;;;26203;748336.81;1077163.13;2013-12-02T00:00:00
22849271;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;231;;;26203;748340.69;1077238.88;2013-12-02T00:00:00
22849289;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;232;;;26203;748577.06;1077187.13;2013-12-02T00:00:00
22849297;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;233;;;26203;748557.69;1077177.38;2013-12-02T00:00:00
22849301;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;234;;;26203;748536.38;1077167.63;2013-12-02T00:00:00
22849319;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;235;;;26203;748515.00;1077153.88;2013-12-02T00:00:00
22849327;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;236;;;26203;748498.00;1077147.00;2013-12-02T00:00:00
22849335;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;237;;;26203;748479.81;1077139.50;2013-12-02T00:00:00
22849343;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;238;;;26203;748466.38;1077127.13;2013-12-02T00:00:00
22849351;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;240;;;26203;748436.13;1077085.75;2013-12-02T00:00:00
22849378;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;242;;;26203;748598.56;1077196.63;2013-12-02T00:00:00
22849386;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;243;;;26203;748621.50;1077209.50;2013-12-02T00:00:00
22849394;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;244;;;26203;749088.00;1077716.00;2013-12-02T00:00:00
22849408;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;245;;;26203;748346.18;1076928.30;2013-12-02T00:00:00
22849416;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;247;;;26203;751243.94;1077682.50;2013-12-02T00:00:00
22849424;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;248;;;26203;748812.00;1076351.00;2013-12-02T00:00:00
22849432;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;249;;;26203;748777.44;1076238.00;2013-12-02T00:00:00
22849441;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;250;;;26203;748757.04;1076253.31;2013-12-02T00:00:00
22849459;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;251;;;26203;751435.13;1078025.38;2013-12-02T00:00:00
22849475;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;253;;;26203;749383.81;1077134.50;2013-12-02T00:00:00
22849483;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;254;;;26203;751314.18;1077616.28;2013-12-02T00:00:00
22849491;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;255;;;26203;751309.22;1077539.88;2013-12-02T00:00:00
22849505;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;256;;;26203;751282.63;1077552.25;2013-12-02T00:00:00
22849513;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;257;;;26203;748886.00;1076332.00;2013-12-02T00:00:00
22849521;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;258;;;26203;751280.29;1077612.47;2020-03-04T00:00:00
22849530;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;259;;;26203;749489.00;1076627.00;2013-12-02T00:00:00
22849548;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;260;;;26203;748882.06;1076231.63;2013-12-02T00:00:00
22849556;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;261;;;26203;748811.06;1076282.38;2013-12-02T00:00:00
22849564;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;262;;;26203;751331.00;1077756.50;2013-12-02T00:00:00
22849572;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;263;;;26203;751284.00;1077584.75;2013-12-02T00:00:00
22849581;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;268;;;26203;751286.56;1077595.00;2013-12-02T00:00:00
22849599;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;270;;;26203;751283.47;1077576.86;2013-12-02T00:00:00
22849602;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;272;;;26203;751293.01;1077520.80;2013-12-02T00:00:00
22849629;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;275;;;26203;751312.00;1077585.25;2013-12-02T00:00:00
22849637;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;276;;;26203;751321.42;1077572.67;2013-12-02T00:00:00
22849645;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;277;;;26203;751320.00;1077562.00;2013-12-02T00:00:00
22849653;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;278;;;26203;751371.81;1077641.00;2013-12-02T00:00:00
22849661;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;284;;;26203;751375.11;1077584.50;2013-12-02T00:00:00
22849670;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;287;;;26203;751342.19;1077560.50;2013-12-02T00:00:00
22849688;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;297;;;26203;748536.38;1076069.50;2013-12-02T00:00:00
22849696;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;298;;;26203;748553.06;1076213.63;2013-12-02T00:00:00
22849700;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;299;;;26203;748375.94;1076294.08;2013-12-02T00:00:00
22849718;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;300;;;26203;750763.76;1076820.80;2013-12-02T00:00:00
25250680;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;93;;;26203;750485.94;1076549.74;2013-12-02T00:00:00
25703242;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;99;;;26203;750504.00;1076540.00;2013-12-02T00:00:00
25723561;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;92;;;26203;751094.86;1076626.78;2013-12-02T00:00:00
25873873;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;98;;;26203;750293.16;1076389.76;2013-12-02T00:00:00
25885090;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;96;;;26203;749079.00;1077674.00;2013-12-02T00:00:00
25885723;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;100;;;26203;750476.84;1076501.10;2013-12-02T00:00:00
25887742;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;97;;;26203;750637.00;1076394.00;2013-12-02T00:00:00
26099021;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;104;;;26203;750223.78;1076429.45;2013-12-02T00:00:00
26099039;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;103;;;26203;750822.20;1076481.60;2013-12-02T00:00:00
26099047;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;106;;;26203;750642.00;1076820.00;2013-12-02T00:00:00
26363208;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;101;;;26203;750960.00;1076637.00;2013-12-02T00:00:00
