Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
1927001;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;147;;;67952;583904.87;1131866.14;2013-12-07T00:00:00
1927019;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;148;;;67952;583911.72;1131878.16;2013-12-07T00:00:00
1927027;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;149;;;67952;584356.73;1131591.39;2013-12-07T00:00:00
1927035;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;150;;;67952;584351.48;1131575.08;2013-12-07T00:00:00
1927043;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;151;;;67952;583927.14;1131878.02;2013-12-07T00:00:00
1927051;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;152;;;67952;583933.98;1131891.00;2013-12-07T00:00:00
1927078;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;154;;;67952;584085.68;1131707.89;2013-12-07T00:00:00
1927086;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;155;;;67952;583987.85;1131974.94;2013-12-07T00:00:00
1927094;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;156;;;67952;583941.42;1131905.74;2013-12-07T00:00:00
1927108;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;157;;;67952;584156.65;1131515.66;2013-12-07T00:00:00
1927116;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;158;;;67952;584114.67;1131459.34;2013-12-07T00:00:00
1927124;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;159;;;67952;584109.93;1131477.78;2013-12-07T00:00:00
1927132;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;160;;;67952;583780.78;1131701.68;2013-12-07T00:00:00
1927141;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;161;;;67952;583767.66;1131702.32;2013-12-07T00:00:00
1927159;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;162;;;67952;;;2011-07-01T00:00:00
1927167;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;163;;;67952;584106.19;1131439.53;2013-12-07T00:00:00
1927175;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;164;;;67952;584109.40;1131447.85;2013-12-07T00:00:00
1927183;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;165;;;67952;584616.08;1131978.76;2013-12-07T00:00:00
1927191;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;166;;;67952;584112.07;1131712.40;2013-12-07T00:00:00
1927205;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;167;;;67952;584151.46;1131487.26;2013-12-07T00:00:00
1927213;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;168;;;67952;583773.24;1131702.77;2016-08-02T00:00:00
1927221;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;169;;;67952;584536.36;1131881.37;2013-12-07T00:00:00
1927230;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;170;;;67952;584142.60;1131451.63;2013-12-07T00:00:00
1927248;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;171;;;67952;584097.92;1131421.30;2013-12-07T00:00:00
1927256;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;172;;;67952;584102.44;1131430.91;2013-12-07T00:00:00
1927264;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;173;;;67952;584389.19;1131724.07;2013-12-07T00:00:00
1927272;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;174;;;67952;584167.67;1131540.22;2013-12-07T00:00:00
1927281;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;175;;;67952;583957.74;1131883.13;2013-12-07T00:00:00
1927299;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;176;;;67952;583961.44;1131895.44;2013-12-07T00:00:00
1927302;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;177;;;67952;583963.72;1131903.01;2013-12-07T00:00:00
1927311;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;178;;;67952;584147.91;1131475.69;2013-12-07T00:00:00
1927329;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;179;;;67952;583989.39;1131361.64;2013-12-07T00:00:00
1927337;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;180;;;67952;583968.78;1131915.45;2013-12-07T00:00:00
1927345;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;181;;;67952;583953.59;1131916.26;2020-02-06T00:00:00
1927353;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;182;;;67952;583952.34;1131937.56;2013-12-07T00:00:00
1927361;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;183;;;67952;583955.27;1131948.17;2013-12-07T00:00:00
1927370;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;184;;;67952;583958.92;1131979.24;2013-12-07T00:00:00
1927388;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;185;;;67952;583986.65;1131964.11;2013-12-07T00:00:00
1927396;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;186;;;67952;583980.74;1131950.91;2013-12-07T00:00:00
1927418;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;188;;;67952;584133.84;1131428.18;2013-12-07T00:00:00
1927426;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;189;;;67952;583976.69;1131939.25;2013-12-07T00:00:00
1927434;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;190;;;67952;583997.90;1131393.18;2013-12-07T00:00:00
1927442;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;191;;;67952;584007.40;1131430.55;2013-12-07T00:00:00
1927451;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;192;;;67952;583953.70;1131964.13;2013-12-07T00:00:00
1927469;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;193;;;67952;583876.84;1131813.06;2013-12-07T00:00:00
1927477;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;194;;;67952;583929.42;1131765.87;2013-12-07T00:00:00
1927485;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;195;;;67952;583977.20;1132005.52;2013-12-07T00:00:00
1927493;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;196;;;67952;584688.89;1132251.51;2013-12-07T00:00:00
1927507;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;197;;;67952;583995.51;1131999.92;2013-12-07T00:00:00
1927515;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;198;;;67952;583740.75;1131803.88;2013-12-07T00:00:00
1927523;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;199;;;67952;583760.35;1131812.94;2013-12-07T00:00:00
1927531;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;200;;;67952;583969.65;1131840.18;2013-12-07T00:00:00
1927540;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;201;;;67952;584423.12;1131766.00;2013-12-07T00:00:00
1927558;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;202;;;67952;584027.54;1131340.82;2013-12-07T00:00:00
1927566;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;203;;;67952;584275.74;1131472.61;2013-12-07T00:00:00
1927574;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;204;;;67952;583986.74;1132033.78;2013-12-07T00:00:00
1927582;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;205;;;67952;583990.12;1132043.64;2013-12-07T00:00:00
1927591;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;206;;;67952;583993.49;1131990.39;2013-12-07T00:00:00
